DATE,CPIAUCSL_PC1
2010-01-01,2.62111
2010-02-01,2.15134
2010-03-01,2.28617
2010-04-01,2.20677
2010-05-01,2.00355
2010-06-01,1.12156
2010-07-01,1.34078
2010-08-01,1.15018
2010-09-01,1.11831
2010-10-01,1.16670
2010-11-01,1.08454
2010-12-01,1.43779
2011-01-01,1.70078
2011-02-01,2.12490
2011-03-01,2.61924
2011-04-01,3.07723
2011-05-01,3.45897
2011-06-01,3.50232
2011-07-01,3.57988
2011-08-01,3.75500
2011-09-01,3.81262
2011-10-01,3.52227
2011-11-01,3.45143
2011-12-01,3.06207
2012-01-01,3.00877
2012-02-01,2.89818
2012-03-01,2.58288
2012-04-01,2.27316
2012-05-01,1.73794
2012-06-01,1.65387
2012-07-01,1.41751
2012-08-01,1.68593
2012-09-01,1.94972
2012-10-01,2.15568
2012-11-01,1.79602
2012-12-01,1.75950
2013-01-01,1.68406
2013-02-01,2.01814
2013-03-01,1.51875
2013-04-01,1.13881
2013-05-01,1.39039
2013-06-01,1.71579
2013-07-01,1.88547
2013-08-01,1.53881
2013-09-01,1.09473
2013-10-01,0.87680
2013-11-01,1.23287
2013-12-01,1.51284
2014-01-01,1.55776
2014-02-01,1.12047
2014-03-01,1.61269
2014-04-01,2.01513
2014-05-01,2.16695
2014-06-01,2.05898
2014-07-01,1.97424
2014-08-01,1.71510
2014-09-01,1.68405
2014-10-01,1.60954
2014-11-01,1.23152
2014-12-01,0.65312
2015-01-01,-0.22993
2015-02-01,-0.08703
2015-03-01,-0.02203
2015-04-01,-0.10403
2015-05-01,0.03503
2015-06-01,0.17957
2015-07-01,0.22569
2015-08-01,0.24130
2015-09-01,0.00884
2015-10-01,0.12762
2015-11-01,0.43632
2015-12-01,0.63872
2016-01-01,1.23750
2016-02-01,0.84728
2016-03-01,0.89162
2016-04-01,1.17263
2016-05-01,1.07848
2016-06-01,1.07929
2016-07-01,0.86836
2016-08-01,1.05532
2016-09-01,1.54864
2016-10-01,1.68592
2016-11-01,1.68433
2016-12-01,2.05080
2017-01-01,2.51039
2017-02-01,2.81036
2017-03-01,2.44120
2017-04-01,2.17622
2017-05-01,1.85634
2017-06-01,1.64057
2017-07-01,1.72511
2017-08-01,1.92812
2017-09-01,2.18057
2017-10-01,2.02076
2017-11-01,2.17249
2017-12-01,2.12993
2018-01-01,2.10370
2018-02-01,2.22658
2018-03-01,2.33259
2018-04-01,2.43783
2018-05-01,2.77659
2018-06-01,2.84851
2018-07-01,2.89875
2018-08-01,2.67800
2018-09-01,2.35518
2018-10-01,2.52852
2018-11-01,2.17281
2018-12-01,1.91522
2019-01-01,1.49833
2019-02-01,1.48172
2019-03-01,1.87995
2019-04-01,2.00563
2019-05-01,1.81275
2019-06-01,1.68964
2019-07-01,1.82116
2019-08-01,1.75969
2019-09-01,1.72733
2019-10-01,1.75708
2019-11-01,2.03082
2019-12-01,2.26172
2020-01-01,2.46049
2020-02-01,2.31971
2020-03-01,1.53064
2020-04-01,0.36486
2020-05-01,0.24244
2020-06-01,0.72681
2020-07-01,1.03283
2020-08-01,1.32759
2020-09-01,1.40065
2020-10-01,1.18420
2020-11-01,1.13776
2020-12-01,1.27815
2021-01-01,1.35997
2021-02-01,1.67524
2021-03-01,2.65838
2021-04-01,4.15199
2021-05-01,4.94444
2021-06-01,5.34102
2021-07-01,5.27610
2021-08-01,5.20533
2021-09-01,5.38991
2021-10-01,6.23694
2021-11-01,6.82837
2021-12-01,7.09654
2022-01-01,7.52593
2022-02-01,7.91202
2022-03-01,8.55759
2022-04-01,8.22414
2022-05-01,8.51641
2022-06-01,8.99522
2022-07-01,8.48213
